severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
BLOCKER	2023-03-05T22:53:49+0000		24.0		python:S1845	API-com-Django-3:-Testes-seguranca-e-lapidacoes	10min		"Rename field ""nivel"" to prevent any misunderstanding/clash with field ""NIVEL"" defined on line 17"	2023-03-05T22:53:49+0000	CODE_SMELL	false	"confusing / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/models.py	"{locations=[{component=API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/models.py, textRange={startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=9.0}, msg=Original, msgFormattings=[]}]} / "	MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=9.0}	10min	AYaz-2G31m6JgciZ2Ayg	99431177454fd7628cb59ed66c7b6de5	OPEN
BLOCKER	2023-03-05T22:53:49+0000		37.0		python:S1845	API-com-Django-3:-Testes-seguranca-e-lapidacoes	10min		"Rename field ""periodo"" to prevent any misunderstanding/clash with field ""PERIODO"" defined on line 30"	2023-03-05T22:53:49+0000	CODE_SMELL	false	"confusing / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/models.py	"{locations=[{component=API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/models.py, textRange={startLine=30.0, endLine=30.0, startOffset=4.0, endOffset=11.0}, msg=Original, msgFormattings=[]}]} / "	MAIN	{startLine=37.0, endLine=37.0, startOffset=4.0, endOffset=11.0}	10min	AYaz-2G31m6JgciZ2Ayh	9a2284c4b858401f7d2ac922c1ca3b5e	OPEN
MAJOR	2023-03-05T22:53:49+0000		18.0		python:S125	API-com-Django-3:-Testes-seguranca-e-lapidacoes	5min		Remove this commented out code.	2023-03-05T22:53:49+0000	CODE_SMELL	false	"unused / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/test/tests_cursos.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=4.0, endOffset=30.0}	5min	AYaz-2G01m6JgciZ2Ayf	0bac98106f6ab8aec66a8a29ccf9569a	OPEN
MAJOR	2023-03-05T22:53:49+0000		29.0		python:S5806	API-com-Django-3:-Testes-seguranca-e-lapidacoes	5min		Rename this variable; it shadows a builtin.	2023-03-05T22:53:49+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/escola/views.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=12.0, endOffset=14.0}	5min	AYaz-2G51m6JgciZ2Ayi	256995e7e9debf91894561a320f95257	OPEN
MINOR	2023-03-05T22:53:49+0000		24.0		python:S1481	API-com-Django-3:-Testes-seguranca-e-lapidacoes	5min		"Remove the unused local variable ""fake""."	2023-03-05T22:53:49+0000	CODE_SMELL	false	"unused / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/seed.py		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=8.0}	5min	AYaz-2G91m6JgciZ2Ayj	32d6749d91cb6563738b2fce33a36a21	OPEN
MAJOR	2023-03-05T22:53:49+0000		156.0		python:S125	API-com-Django-3:-Testes-seguranca-e-lapidacoes	5min		Remove this commented out code.	2023-03-05T22:53:49+0000	CODE_SMELL	false	"unused / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/setup/settings.py		MAIN	{startLine=156.0, endLine=156.0, startOffset=0.0, endOffset=12.0}	5min	AYaz-2Gt1m6JgciZ2Ayd	c7a22f4ac679e6ba492020004eccd98d	OPEN
MAJOR	2023-03-05T22:53:49+0000		166.0		python:S125	API-com-Django-3:-Testes-seguranca-e-lapidacoes	5min		Remove this commented out code.	2023-03-05T22:53:49+0000	CODE_SMELL	false	"unused / "	API-com-Django-3:-Testes-seguranca-e-lapidacoes:drf_lapidacoes-aula_5/setup/settings.py		MAIN	{startLine=166.0, endLine=166.0, startOffset=0.0, endOffset=59.0}	5min	AYaz-2Gt1m6JgciZ2Aye	e7ce7b3a7771f430d75219d186839bbc	OPEN
