severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:08:05+0000		39.0		python:S1192	Monitoring-machine-learning-models-in-production	8min		Define a constant instead of duplicating this literal '2011-01-29 00:00:00' 4 times.	2023-03-06T02:08:05+0000	CODE_SMELL	false	"design / "	Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py	"{locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=73.0, endLine=73.0, startOffset=65.0, endOffset=86.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=81.0, endLine=81.0, startOffset=56.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=127.0, endLine=127.0, startOffset=54.0, endOffset=75.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=39.0, endLine=39.0, startOffset=23.0, endOffset=44.0}	8min	AYa0rTKV1m6JgciZ3Hrh	3fac307846b089702700efbf52a336fe	OPEN
CRITICAL	2023-03-06T02:08:05+0000		73.0		python:S1192	Monitoring-machine-learning-models-in-production	6min		Define a constant instead of duplicating this literal '2011-02-07 23:00:00' 3 times.	2023-03-06T02:08:05+0000	CODE_SMELL	false	"design / "	Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py	"{locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=81.0, endLine=81.0, startOffset=78.0, endOffset=99.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=127.0, endLine=127.0, startOffset=76.0, endOffset=97.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=73.0, endLine=73.0, startOffset=87.0, endOffset=108.0}	6min	AYa0rTKV1m6JgciZ3Hrg	56fdf890618519bc514f7ba8a6aea823	OPEN
CRITICAL	2023-03-06T02:08:05+0000		90.0		python:S1192	Monitoring-machine-learning-models-in-production	6min		Define a constant instead of duplicating this literal '2011-02-14 23:00:00' 3 times.	2023-03-06T02:08:05+0000	CODE_SMELL	false	"design / "	Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py	"{locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=97.0, endLine=97.0, startOffset=78.0, endOffset=99.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=138.0, endLine=138.0, startOffset=76.0, endOffset=97.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=90.0, endLine=90.0, startOffset=87.0, endOffset=108.0}	6min	AYa0rTKV1m6JgciZ3Hri	a64dfac1013c78fcb8f8981b30984481	OPEN
CRITICAL	2023-03-06T02:08:05+0000		90.0		python:S1192	Monitoring-machine-learning-models-in-production	6min		Define a constant instead of duplicating this literal '2011-02-07 00:00:00' 3 times.	2023-03-06T02:08:05+0000	CODE_SMELL	false	"design / "	Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py	"{locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=97.0, endLine=97.0, startOffset=56.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Monitoring-machine-learning-models-in-production:cd0583-model-scoring-and-drift-using-evidently-main/main.py, textRange={startLine=138.0, endLine=138.0, startOffset=54.0, endOffset=75.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=90.0, endLine=90.0, startOffset=65.0, endOffset=86.0}	6min	AYa0rTKV1m6JgciZ3Hrj	a64dfac1013c78fcb8f8981b30984481	OPEN
