severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:05:09+0000		11.0		python:S1192	Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree	12min		"Define a constant instead of duplicating this literal ""INSERT INTO posts (title, content) VALUES (?, ?)"" 6 times."	2023-03-06T02:05:09+0000	CODE_SMELL	false	"design / "	Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py	"{locations=[{component=Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py, textRange={startLine=15.0, endLine=15.0, startOffset=12.0, endOffset=62.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py, textRange={startLine=19.0, endLine=19.0, startOffset=12.0, endOffset=62.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py, textRange={startLine=23.0, endLine=23.0, startOffset=12.0, endOffset=62.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py, textRange={startLine=27.0, endLine=27.0, startOffset=12.0, endOffset=62.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/project/techtrends/init_db.py, textRange={startLine=31.0, endLine=31.0, startOffset=12.0, endOffset=62.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=11.0, endLine=11.0, startOffset=12.0, endOffset=62.0}	12min	AYa0qotX1m6JgciZ3GFz	57e5f0ded883920c071586920ad7d1a5	OPEN
MAJOR	2023-03-06T02:05:09+0000		3.0		python:S5914	Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree	5min		Replace this expression; its boolean value is constant.	2023-03-06T02:05:09+0000	CODE_SMELL	false	"confusing / suspicious / tests / "	Cloud-Native-Fundamentals-Scholarship-Program-Nanodegree:nd064_course_1-main/solutions/python-helloworld/test_with_pytest.py		MAIN	{startLine=3.0, endLine=3.0, startOffset=11.0, endOffset=15.0}	5min	AYa0qotE1m6JgciZ3GFt	4bf0055e08bb4400dcc21e2889f93fbc	OPEN
