severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Microservices-com-Spring-Cloud:-Registry-Config-Server-e-Distributed-Tracing:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
