severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:08:22+0000		92.0		python:S3776	Computer-Vision-Nanodegree---Gesture-Recognition	15min		Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"brain-overload / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py	"{locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=94.0, endLine=94.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=96.0, endLine=96.0, startOffset=8.0, endOffset=12.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=97.0, endLine=97.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=101.0, endLine=101.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=104.0, endLine=104.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=105.0, endLine=105.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=106.0, endLine=106.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=108.0, endLine=108.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=112.0, endLine=112.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting), msgFormattings=[]}]} / "	MAIN	{startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=12.0}	15min	AYa0rX5n1m6JgciZ3Huw	3d9849f0a6d4f958dcc56deaad3c3a39	OPEN
CRITICAL	2023-03-06T02:08:22+0000		226.0		python:S3776	Computer-Vision-Nanodegree---Gesture-Recognition	37min		Refactor this function to reduce its Cognitive Complexity from 47 to the 15 allowed.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"brain-overload / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py	"{locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=234.0, endLine=234.0, startOffset=24.0, endOffset=26.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=235.0, endLine=235.0, startOffset=8.0, endOffset=11.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=236.0, endLine=236.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=240.0, endLine=240.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=246.0, endLine=246.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=247.0, endLine=247.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=247.0, endLine=247.0, startOffset=25.0, endOffset=28.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=259.0, endLine=259.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=261.0, endLine=261.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=263.0, endLine=263.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=270.0, endLine=270.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=272.0, endLine=272.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=276.0, endLine=276.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=278.0, endLine=278.0, startOffset=12.0, endOffset=16.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=280.0, endLine=280.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=282.0, endLine=282.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=284.0, endLine=284.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=286.0, endLine=286.0, startOffset=20.0, endOffset=24.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=288.0, endLine=288.0, startOffset=16.0, endOffset=20.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=292.0, endLine=292.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=298.0, endLine=298.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=301.0, endLine=301.0, startOffset=8.0, endOffset=10.0}, msg=+1, msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=302.0, endLine=302.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=304.0, endLine=304.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=307.0, endLine=307.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting), msgFormattings=[]}]} / {locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=309.0, endLine=309.0, startOffset=20.0, endOffset=24.0}, msg=+1, msgFormattings=[]}]} / "	MAIN	{startLine=226.0, endLine=226.0, startOffset=8.0, endOffset=14.0}	37min	AYa0rX5n1m6JgciZ3Hux	78173b75e8786c984a416fd87b3f4ec4	OPEN
MAJOR	2023-03-06T02:08:22+0000		302.0		python:S1066	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Merge this if statement with the enclosing one.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"clumsy / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py	"{locations=[{component=Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/callbacks.py, textRange={startLine=301.0, endLine=301.0, startOffset=8.0, endOffset=10.0}, msg=enclosing, msgFormattings=[]}]} / "	MAIN	{startLine=302.0, endLine=302.0, startOffset=12.0, endOffset=14.0}	5min	AYa0rX5n1m6JgciZ3Huv	00073c7542668026ff1c151a3ae89f34	OPEN
CRITICAL	2023-03-06T02:08:22+0000		8.0		python:S2208	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"pitfall / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/data_loader.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=0.0, endOffset=36.0}	5min	AYa0rX5l1m6JgciZ3Hut	6cf948e84a6967ed7114fa2b55e42d33	OPEN
MAJOR	2023-03-06T02:08:22+0000		102.0		python:S125	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Remove this commented out code.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"unused / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/data_loader.py		MAIN	{startLine=102.0, endLine=102.0, startOffset=4.0, endOffset=39.0}	5min	AYa0rX5l1m6JgciZ3Huu	527f6a9b4f36bb72c191e1a82e149c36	OPEN
CRITICAL	2023-03-06T02:08:22+0000		16.0		python:S2208	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Import only needed names or import the module and then use its members.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"pitfall / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/train.py		MAIN	{startLine=16.0, endLine=16.0, startOffset=0.0, endOffset=36.0}	5min	AYa0rX5i1m6JgciZ3Huq	6cf948e84a6967ed7114fa2b55e42d33	OPEN
MAJOR	2023-03-06T02:08:22+0000		217.0		python:S5806	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Rename this variable; it shadows a builtin.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/train.py		MAIN	{startLine=217.0, endLine=217.0, startOffset=8.0, endOffset=13.0}	5min	AYa0rX5i1m6JgciZ3Hur	762a8e81fb273457dfadf0b98be836f5	OPEN
MAJOR	2023-03-06T02:08:22+0000		259.0		python:S5806	Computer-Vision-Nanodegree---Gesture-Recognition	5min		Rename this variable; it shadows a builtin.	2023-03-06T02:08:22+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Computer-Vision-Nanodegree---Gesture-Recognition:CVND---Gesture-Recognition-master/train.py		MAIN	{startLine=259.0, endLine=259.0, startOffset=12.0, endOffset=17.0}	5min	AYa0rX5i1m6JgciZ3Hus	762a8e81fb273457dfadf0b98be836f5	OPEN
