severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-06T01:58:23+0000		33.0		python:S117	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II	2min		"Rename this local variable ""X_test"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:58:23+0000	CODE_SMELL	false	"convention / "	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II:nd0821-c2-build-model-workflow-starter-master/components/test_regression_model/run.py		MAIN	{startLine=33.0, endLine=33.0, startOffset=4.0, endOffset=10.0}	2min	AYa0pGLO1m6JgciZ3CR7	15e2196a65d676b29964c6063c133e15	OPEN
MINOR	2023-03-06T01:58:23+0000		36.0		python:S1481	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II	5min		"Remove the unused local variable ""tmp_dir""."	2023-03-06T01:58:23+0000	CODE_SMELL	false	"unused / "	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II:nd0821-c2-build-model-workflow-starter-master/main.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=42.0, endOffset=49.0}	5min	AYa0pGLW1m6JgciZ3CR9	ff970fe52a61c4360ceb09747f6a87e4	OPEN
MINOR	2023-03-06T01:58:23+0000		83.0		python:S2772	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II	2min		"Remove this unneeded ""pass""."	2023-03-06T01:58:23+0000	CODE_SMELL	false	"unused / "	Machine-Learning-DevOps-Engineer---Build-an-ML-Pipeline-for-Short-Term-Rental-Prices-in-NYC-II:nd0821-c2-build-model-workflow-starter-master/main.py		MAIN	{startLine=83.0, endLine=83.0, startOffset=12.0, endOffset=16.0}	2min	AYa0pGLW1m6JgciZ3CR-	1a1dc91c907325c69271ddf0c944bc72	OPEN
