severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		44.0		java:S3551	Google-Play-Services-Lessons	20min		Overrides should match their parent class methods in synchronization	2023-03-07T02:54:15+0000	BUG	false	cert / convention / 	Google-Play-Services-Lessons:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
BLOCKER	2023-03-07T02:54:15+0000		101.0		java:S2275	Google-Play-Services-Lessons	10min		Printf-style format strings should not lead to unexpected behavior at runtime	2023-03-07T02:54:15+0000	BUG	false	clumsy / 	Google-Play-Services-Lessons:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		266.0		java:S5856	Google-Play-Services-Lessons	15min		Regular expressions should be syntactically valid	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Google-Play-Services-Lessons:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
MAJOR	2023-03-07T02:54:15+0000		44.0		java:S3551	Google-Play-Services-Lessons	20min		Overrides should match their parent class methods in synchronization	2023-03-07T02:54:15+0000	BUG	false	cert / convention / 	Google-Play-Services-Lessons:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
BLOCKER	2023-03-07T02:54:15+0000		101.0		java:S2275	Google-Play-Services-Lessons	10min		Printf-style format strings should not lead to unexpected behavior at runtime	2023-03-07T02:54:15+0000	BUG	false	clumsy / 	Google-Play-Services-Lessons:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		266.0		java:S5856	Google-Play-Services-Lessons	15min		Regular expressions should be syntactically valid	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Google-Play-Services-Lessons:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
