severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		266.0		java:S5856	Android-Basics-Nanodegree-by-Google---Court-Counter	15min		Regular expressions should be syntactically valid	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	15min	AYa5_c9L1m6JgciZ3N_b	44ade14b7e32109e6c5d98008fffcd5e	OPEN
BLOCKER	2023-03-07T02:54:15+0000		302.0		java:S2095	Android-Basics-Nanodegree-by-Google---Court-Counter	5min		Resources should be closed	2023-03-07T02:54:15+0000	BUG	false	confusing / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		319.0		java:S3750	Android-Basics-Nanodegree-by-Google---Court-Counter	2min		"Spring ""@Controller"" classes should not use ""@Scope"""	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Android-Basics-Nanodegree-by-Google---Court-Counter	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		161.0		java:S1197	Android-Basics-Nanodegree-by-Google---Court-Counter	5min		Move the array designators [] to the type.	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=161.0, endLine=161.0, startOffset=35.0, endOffset=41.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Android-Basics-Nanodegree-by-Google---Court-Counter	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Android-Basics-Nanodegree-by-Google---Court-Counter:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
