severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-05T22:52:06+0000		15.0		python:S125	Python-3:-entendendo-o-Tratamento-de-Erros	5min		Remove this commented out code.	2023-03-05T22:52:06+0000	CODE_SMELL	false	"unused / "	Python-3:-entendendo-o-Tratamento-de-Erros:Python_exceptions-aula7/exemple.py		MAIN	{startLine=15.0, endLine=15.0, startOffset=0.0, endOffset=5.0}	5min	AYaz-cjw1m6JgciZ2ATk	7dd94298ad9400c37b93b3700e16e6dd	OPEN
MAJOR	2023-03-05T22:52:06+0000		9.0		python:S1763	Python-3:-entendendo-o-Tratamento-de-Erros	5min		Delete this unreachable code or refactor the code to make it reachable.	2023-03-05T22:52:06+0000	BUG	false	"cwe / unused / "	Python-3:-entendendo-o-Tratamento-de-Erros:Python_exceptions-aula7/leitor.py	"{locations=[{component=Python-3:-entendendo-o-Tratamento-de-Erros:Python_exceptions-aula7/leitor.py, textRange={startLine=8.0, endLine=8.0, startOffset=8.0, endOffset=23.0}, msg=Statement exiting the current code block., msgFormattings=[]}]} / "	MAIN	{startLine=9.0, endLine=9.0, startOffset=8.0, endOffset=33.0}	5min	AYaz-cj01m6JgciZ2ATl	dc097d537469df645e8f376f952c338e	OPEN
MAJOR	2023-03-05T22:52:06+0000		103.0		python:S125	Python-3:-entendendo-o-Tratamento-de-Erros	5min		Remove this commented out code.	2023-03-05T22:52:06+0000	CODE_SMELL	false	"unused / "	Python-3:-entendendo-o-Tratamento-de-Erros:Python_exceptions-aula7/main.py		MAIN	{startLine=103.0, endLine=103.0, startOffset=0.0, endOffset=27.0}	5min	AYaz-cj41m6JgciZ2ATm	c2e27cd1a781ee8afee686319d29d3c3	OPEN
MAJOR	2023-03-05T22:52:06+0000		106.0		python:S125	Python-3:-entendendo-o-Tratamento-de-Erros	5min		Remove this commented out code.	2023-03-05T22:52:06+0000	CODE_SMELL	false	"unused / "	Python-3:-entendendo-o-Tratamento-de-Erros:Python_exceptions-aula7/main.py		MAIN	{startLine=106.0, endLine=106.0, startOffset=0.0, endOffset=53.0}	5min	AYaz-cj41m6JgciZ2ATn	7dc4155ed91ab85203ea72e7c7794f00	OPEN
