severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Android-Basics-Nanodegree---Soonami-App	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Android-Basics-Nanodegree---Soonami-App	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		5.0		java:S126	Android-Basics-Nanodegree---Soonami-App	5min		"""if ... else if"" constructs should end with ""else"" clauses"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / pitfall / serialization /	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		9.0		java:S3937	Android-Basics-Nanodegree---Soonami-App	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	bad-practice / cert / owasp-a3 / 	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=38.0, endLine=38.0, startOffset=22.0, endOffset=36.0}	10min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Android-Basics-Nanodegree---Soonami-App	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Android-Basics-Nanodegree---Soonami-App	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Android-Basics-Nanodegree---Soonami-App	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Android-Basics-Nanodegree---Soonami-App	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Android-Basics-Nanodegree---Soonami-App:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
