severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
BLOCKER	2023-03-07T02:54:15+0000		7.0		java:S3753	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa	5min		"""@Controller"" classes that use ""@SessionAttributes"" must call ""setComplete"" on their ""SessionStatus"" objects"	2023-03-07T02:54:15+0000	BUG	true	clumsy / redundant / 	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MINOR	2023-03-07T02:54:15+0000		174.0		java:S1989	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa	20min		Exceptions should not be thrown from servlet methods	2023-03-07T02:54:15+0000	VULNERABILITY	true	cert / cwe /error-handling / owasp-a3	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa:		MAIN	{startLine=65.0, endLine=65.0, startOffset=78.0, endOffset=118.0}	20min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Java-JRE-e-JDK:-compile-e-execute-o-seu-programa:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
