severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T00:37:38+0000		3.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=4.0, endOffset=13.0}	5min	AYa0Wnb41m6JgciZ2Hh8	912dcad7571aa5097519114ada5c6d01	OPEN
CRITICAL	2023-03-06T00:37:38+0000		10.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=10.0, endLine=10.0, startOffset=12.0, endOffset=20.0}	5min	AYa0Wnb41m6JgciZ2Hh9	02c4472efbecd67119729bd0ff36efe7	OPEN
CRITICAL	2023-03-06T00:37:38+0000		20.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=20.0, endLine=20.0, startOffset=4.0, endOffset=15.0}	5min	AYa0Wnb41m6JgciZ2Hh-	186571f0254c5c33bfc9104853ecc070	OPEN
CRITICAL	2023-03-06T00:37:38+0000		39.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	false	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=12.0}	5min	AYa0Wnb41m6JgciZ2Hh_	d7aa7cf0895d3c45b945790308260892	OPEN
CRITICAL	2023-03-06T00:37:38+0000		42.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=42.0, endLine=42.0, startOffset=12.0, endOffset=27.0}	5min	AYa0Wnb41m6JgciZ2HiA	7ad5700900c392bb7a24499d373c0509	OPEN
CRITICAL	2023-03-06T00:37:38+0000		43.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=30.0}	5min	AYa0Wnb41m6JgciZ2HiB	0a845f57957af207e0f07195eae6bedd	OPEN
CRITICAL	2023-03-06T00:37:38+0000		52.0		javascript:S3504	Javascript-Design-Patterns-course-	5min		Unexpected var, use let or const instead.	2023-03-06T00:37:38+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Javascript-Design-Patterns-course-:ud989-retain-master/js/retain.js		MAIN	{startLine=52.0, endLine=52.0, startOffset=12.0, endOffset=23.0}	5min	AYa0Wnb41m6JgciZ2HiC	d49c19473241922cd7ed1c64beb55da1	OPEN
