severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-05T22:48:19+0000		12.0		python:S5806	Python:-trabalhando-com-I-O	5min		Rename this variable; it shadows a builtin.	2023-03-05T22:48:19+0000	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	Python:-trabalhando-com-I-O:pythonio-aula05/contatos_utils.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=12.0, endOffset=14.0}	5min	AYaz9lTs1m6JgciZ1-8Y	fa6fea883b3813cf82b60667bb2f11d2	OPEN
MAJOR	2023-03-05T22:48:19+0000		4.0		python:S125	Python:-trabalhando-com-I-O	5min		Remove this commented out code.	2023-03-05T22:48:19+0000	CODE_SMELL	false	"unused / "	Python:-trabalhando-com-I-O:pythonio-aula05/principal.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=4.0, endOffset=71.0}	5min	AYaz9lT11m6JgciZ1-8a	8102fc349271ee1a37a296c17d69ae88	OPEN
MAJOR	2023-03-05T22:48:19+0000		7.0		python:S125	Python:-trabalhando-com-I-O	5min		Remove this commented out code.	2023-03-05T22:48:19+0000	CODE_SMELL	false	"unused / "	Python:-trabalhando-com-I-O:pythonio-aula05/principal.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=4.0, endOffset=77.0}	5min	AYaz9lT11m6JgciZ1-8b	f91cc899f5da95e62f497e1564410e1a	OPEN
MAJOR	2023-03-05T22:48:19+0000		7.0		python:S125	Python:-trabalhando-com-I-O	5min		Remove this commented out code.	2023-03-05T22:48:19+0000	CODE_SMELL	false	"unused / "	Python:-trabalhando-com-I-O:pythonio-aula05/testa_io.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=0.0, endOffset=23.0}	5min	AYaz9lTy1m6JgciZ1-8Z	588af3213cc4602c9522d4341192093e	OPEN
