severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T01:23:16+0000		3.0		javascript:S3504	Decentralized-Star-Notary-Service-Project	5min		Unexpected var, use let or const instead.	2023-03-06T01:23:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=12.0}	5min	AYa0hEG_1m6JgciZ28y3	8d797bf8aef21df192222b6611736e75	OPEN
CRITICAL	2023-03-06T01:23:16+0000		4.0		javascript:S3504	Decentralized-Star-Notary-Service-Project	5min		Unexpected var, use let or const instead.	2023-03-06T01:23:16+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=9.0}	5min	AYa0hEG_1m6JgciZ28y4	91907f95c84771b225325d83edf54724	OPEN
MINOR	2023-03-06T01:23:16+0000		54.0		javascript:S1481	Decentralized-Star-Notary-Service-Project	5min		Remove the declaration of the unused 'balanceOfUser1BeforeTransaction' variable.	2023-03-06T01:23:16+0000	CODE_SMELL	false	"unused / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=54.0, endLine=54.0, startOffset=8.0, endOffset=39.0}	5min	AYa0hEG_1m6JgciZ28y5	3be14c72a397f8c1f2b2d58db95b65e8	OPEN
MAJOR	2023-03-06T01:23:16+0000		54.0		javascript:S1854	Decentralized-Star-Notary-Service-Project	15min		"Remove this useless assignment to variable ""balanceOfUser1BeforeTransaction""."	2023-03-06T01:23:16+0000	CODE_SMELL	false	"cwe / unused / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=54.0, endLine=54.0, startOffset=8.0, endOffset=39.0}	15min	AYa0hEG_1m6JgciZ28y6	3be14c72a397f8c1f2b2d58db95b65e8	OPEN
MINOR	2023-03-06T01:23:16+0000		68.0		javascript:S1481	Decentralized-Star-Notary-Service-Project	5min		Remove the declaration of the unused 'balanceOfUser1BeforeTransaction' variable.	2023-03-06T01:23:16+0000	CODE_SMELL	false	"unused / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=68.0, endLine=68.0, startOffset=8.0, endOffset=39.0}	5min	AYa0hEG_1m6JgciZ28y7	3be14c72a397f8c1f2b2d58db95b65e8	OPEN
MAJOR	2023-03-06T01:23:16+0000		68.0		javascript:S1854	Decentralized-Star-Notary-Service-Project	15min		"Remove this useless assignment to variable ""balanceOfUser1BeforeTransaction""."	2023-03-06T01:23:16+0000	CODE_SMELL	false	"cwe / unused / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/test/TestStarNotary.js		MAIN	{startLine=68.0, endLine=68.0, startOffset=8.0, endOffset=39.0}	15min	AYa0hEG_1m6JgciZ28y8	3be14c72a397f8c1f2b2d58db95b65e8	OPEN
MAJOR	2023-03-06T01:23:16+0000		25.0		javascript:S125	Decentralized-Star-Notary-Service-Project	5min		Remove this commented out code.	2023-03-06T01:23:16+0000	CODE_SMELL	true	"unused / "	Decentralized-Star-Notary-Service-Project:nd1309-p2-Decentralized-Star-Notary-Service-Starter-Code-main/truffle-config.js		MAIN	{startLine=25.0, endLine=29.0, startOffset=0.0, endOffset=65.0}	5min	AYa0hEHF1m6JgciZ28y9	f58da1181b8ee1b2ba20d3eca6f112b4	OPEN
