severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		35.0		java:S453	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest	10min		Standard functional interfaces should not be redefined	2023-03-07T02:54:15+0000	CODE_SMELL	true	java8 /	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		48.0		java:S6019	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest	10min		Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string	2023-03-07T02:54:15+0000	CODE_SMELL	false	pitfall /	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S1217	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest	20min		"""Thread.run()"" should not be called directly"	2023-03-07T02:54:15+0000	BUG	true	cwe / serialization / 	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	20min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		23.0		java:S2061	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest	5min		Custom serialization method signatures should meet requirements	2023-03-07T02:54:15+0000	BUG	true	bad-practice / cert / owasp-a3 / 	Spring-Boot-3:-aplique-boas-pr-ticas-e-proteja-uma-API-Rest:		MAIN	{startLine=36.0, endLine=36.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
