course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
Raspberry Pi: autenticação com RFID e Dynamo DB;132;0;0;;;;;;;;;;;;;;;;;;;;;;;
Threads em Java 2: programação concorrente avançada;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Next.js: tour pelo Next.js;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Algoritmos II: MergeSort, QuickSort, Busca Binária e Análise de Algoritmo;32;0;0;;;;;;;;;;;;;;;;;;;;;;;
Data Science: testes estatísticos com Python;9;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java Reflection parte 1: entendendo a metaprogramação;4;1;0;;;;;;;;;;;;;;;;;;;;;;;
Java e JDBC: trabalhando com um banco de dados;10;3;0;;;;;;;;;;;;;;;;;;;;;;;
Java e Clean Architecture: descomplicando arquitetura de software;5;1;1;;;;;;;;;;;;;;;;;;;;;;;
Java Polimorfismo: entenda herança e interfaces;8;1;1;;;;;;;;;;;;;;;;;;;;;;;
Next.js: trabalhando com arquitetura Front-end;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Next.js: trabalhando com um CMS;2;3;0;;;;;;;;;;;;;;;;;;;;;;;
Microsserviços na prática: implementando com Java e Spring;18;0;0;;;;;;;;;;;;;;;;;;;;;;;
Microsserviços na prática: mensageria com RabbitMQ;3;0;1;;;;;;;;;;;;;;;;;;;;;;;
Python Collections parte 1: listas e tuplas;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Java Servlet: autenticação, autorização e o padrão MVC;33;0;1;;;;;;;;;;;;;;;;;;;;;;;
NextJS: CI e CD para Front-end com o Github Actions;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Node: sua primeira API com Express;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Spring Boot 3: aplique boas práticas e proteja uma API Rest;2;2;0;;;;;;;;;;;;;;;;;;;;;;;
Java Exceções: aprenda a criar, lançar e controlar exceções;7;3;1;;;;;;;;;;;;;;;;;;;;;;;
Segurança web em Java parte 2: XSS, Mass Assignment e Uploads de arquivos!;11;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java Reflection parte 2: Anotações e Injeção de Dependências;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java e java.util: Coleções, Wrappers e Lambda expressions;8;1;1;;;;;;;;;;;;;;;;;;;;;;;
Spring MVC: autenticação com Spring Security, API Rest e AJAX;5;0;1;;;;;;;;;;;;;;;;;;;;;;;
Java e MongoDB: integre uma webapp Java com um banco NoSQL;25;1;0;;;;;;;;;;;;;;;;;;;;;;;
Node.js: criando sua primeira biblioteca;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
ORM com NodeJS: API com Sequelize e MySQL;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Design Patterns em Java I: boas práticas de programação;3;1;1;;;;;;;;;;;;;;;;;;;;;;;
Java e Domain Driven Design: apresentando os conceitos;25;0;0;;;;;;;;;;;;;;;;;;;;;;;
Java e JPA: consultas avançadas, performance e modelos complexos;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Spring Data JPA: Repositórios, Consultas, Projeções e Specifications;18;1;0;;;;;;;;;;;;;;;;;;;;;;;
Protractor:testando sua aplicação de ponta a ponta;13;3;0;;;;;;;;;;;;;;;;;;;;;;;
Selenium: testes automatizados de aceitação em Java;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Mocks em Java: conhecendo o Mockito;21;0;0;;;;;;;;;;;;;;;;;;;;;;;
Microservices com Spring Cloud: Registry, Config Server e Distributed Tracing;6;0;0;;;;;;;;;;;;;;;;;;;;;;;
Spring Boot 3: documente, teste e prepare uma API para o deploy;33;0;0;;;;;;;;;;;;;;;;;;;;;;;
React com JavaScript: lidando com arquivos estáticos;132;0;0;;;;;;;;;;;;;;;;;;;;;;;
React Native: criando um app;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
BDD e Java: Behavior Driven Development com Cucumber;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Microservices com Spring Cloud: Circuit Breaker, Hystrix e API Gateway;0;2;1;;;;;;;;;;;;;;;;;;;;;;;
React Native: criando um app em Typescript;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Agilidade e TDD: um dia no desenvolvimento de software;33;0;0;;;;;;;;;;;;;;;;;;;;;;;
Agilidade e DevOps: um dia no desenvolvimento de software;6;1;1;;;;;;;;;;;;;;;;;;;;;;;
Kafka: Fast delegate, evolução e cluster de brokers;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: autenticando usuários;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: comece seu projeto full stack;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: conhecendo a biblioteca React Router;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: desenvolvendo com JavaScript;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: desenvolvendo em React Router com JavaScript;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
React: escrevendo com Typescript;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: integrando seu projeto React com APIs;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
React: migrando para TypeScript;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
RxJS e Angular:programando de forma reativa;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Svelte: diretivas e componentes com TypeScript;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
SvelteKit: trabalhando com store;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
TypeScript parte 1: evoluindo seu JavaScript;7;3;1;;;;;;;;;;;;;;;;;;;;;;;
TypeScript parte 2: avançando na linguagem;7;3;1;;;;;;;;;;;;;;;;;;;;;;;
Typescript parte 3: mais técnicas e boas práticas;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Vetores e Animação com SVG: trabalhando com CSS e JavaScript;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Vue3: avançando no framework;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Vue3: composition API e Vuex;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Vue3: explorando o framework;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
