course;code_smells_count;bugs_count;vulnerability_count;;;;;;;;;;;;;;;;;;;;;;;
Dermatologist AI;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Developing Android Apps - Exercises I;129;0;0;;;;;;;;;;;;;;;;;;;;;;;
Developing Android Apps - Exercises II;28;1;0;;;;;;;;;;;;;;;;;;;;;;;
Developing Android Apps: Android Fundamentals - Sunshine;9;3;0;;;;;;;;;;;;;;;;;;;;;;;
Diagonsing and Fixing Operational Problems;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
DictionaryProviderExample - Developing Android Apps;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Didi Self-driving Car Challenge;33;0;0;;;;;;;;;;;;;;;;;;;;;;;
Ensuring Quality Releases;13;1;0;;;;;;;;;;;;;;;;;;;;;;;
Exercises for Angular-Spring Boot Fullstack Applications;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Exercises for React Native Course;36;0;0;;;;;;;;;;;;;;;;;;;;;;;
Express.JS Exercise with Node.js;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Facebook Passwordless Login;12;0;1;;;;;;;;;;;;;;;;;;;;;;;
FCND - 3D Motion Planning;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Firebase Essentials - Firebase UI Deep Dive;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Firebase Essentials : Build a Shopping List App;13;1;0;;;;;;;;;;;;;;;;;;;;;;;
Firebase in a Weekend by Google;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Flying Car Nanodegree Program - Backyard Flyer;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Flying Car Nanodegree Program - Controls Crazyflie;7;0;0;;;;;;;;;;;;;;;;;;;;;;;
Flying Car Nanodegree Program - Drone Python API;32;0;0;;;;;;;;;;;;;;;;;;;;;;;
Flying Car Nanodegree Program - Starter Kit;32;0;0;;;;;;;;;;;;;;;;;;;;;;;
Front End Developer Nanodegree- Webpack Express;32;0;0;;;;;;;;;;;;;;;;;;;;;;;
Front End Frameworks;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Front-End Web Developer Nanodegree;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack Apps on AWS Project;0;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack JavaScript Developer - Contact App Backend;1;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full stack Nanodegree - Lessons;182;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack Nanodegree Project 4 Refresh;182;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack Web Developer Nanodegree - Identity Access Management;5;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack Web Developer Nanodegree - Office Hour;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full Stack Web Developer Nanodegree - Program Virtual Machine;20;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full-Stack Nanodegree program;31;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full-Stack Nanodegree program - Control Project;28;0;0;;;;;;;;;;;;;;;;;;;;;;;
Full-Stack Nanodegree program - Fixed Wing Project;59;0;0;;;;;;;;;;;;;;;;;;;;;;;
Fullstack Microservices C3 Exercises;10;0;0;;;;;;;;;;;;;;;;;;;;;;;
Fullstack Nanodegree - Designing RESTful APIs;364;0;0;;;;;;;;;;;;;;;;;;;;;;;
Fully Convolutional Network - Project;11;0;0;;;;;;;;;;;;;;;;;;;;;;;
GoLang Nanodegree - Online Boutique;233;0;0;;;;;;;;;;;;;;;;;;;;;;;
Google App Engine Discourse API Client;40;0;0;;;;;;;;;;;;;;;;;;;;;;;
Google Play Services Course - Analytics and Tag Manager;0;1;2;;;;;;;;;;;;;;;;;;;;;;;
Google Play Services Lessons;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
Gradle for Android and Java;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
Hapi.js Exercise with Node.js;0;1;0;;;;;;;;;;;;;;;;;;;;;;;
Hashing Code Exercise;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Hosting a Full-Stack Application;10;0;0;;;;;;;;;;;;;;;;;;;;;;;
How Does Your App Grow? ;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
How to Make a Platformer Using LibGDX;0;6;0;;;;;;;;;;;;;;;;;;;;;;;
HTTP & Web Servers - Lessons;32;2;0;;;;;;;;;;;;;;;;;;;;;;;
Implementing Privacy in Software Applications ;8;2;0;;;;;;;;;;;;;;;;;;;;;;;
Implementing Privacy in Software Applications - Lessons;15;1;0;;;;;;;;;;;;;;;;;;;;;;;
Interactive 3D Graphics;122;5;0;;;;;;;;;;;;;;;;;;;;;;;
Intermediate Python Nanodegree - Explore Close Approaches of Near-Earth Objects;24;0;0;;;;;;;;;;;;;;;;;;;;;;;
Intermediate Python Nanodegree Program;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Intro to JavaScript I - Shopping Cart Functionality;3;0;0;;;;;;;;;;;;;;;;;;;;;;;
Intro to Programming Nanodegree Starter Code;32;0;0;;;;;;;;;;;;;;;;;;;;;;;
Intro to Progressive Web Apps - Material;4;0;0;;;;;;;;;;;;;;;;;;;;;;;
