severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-05T22:51:49+0000		8.0		python:S6397	String-em-Python:-extraindo-informacoes-de-uma-URL	5min		Replace this character class by the character itself.	2023-03-05T22:51:49+0000	CODE_SMELL	false	"regex / "	String-em-Python:-extraindo-informacoes-de-uma-URL:manipulacao-strings-alura-aula-5/extrator_cep.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=30.0, endOffset=31.0}	5min	AYaz-YTy1m6JgciZ2APN	bab48b139ab2b025d5f7419da82e5ee8	OPEN
MINOR	2023-03-05T22:51:49+0000		8.0		python:S6353	String-em-Python:-extraindo-informacoes-de-uma-URL	5min		Use concise character class syntax '\d' instead of '[0-9]'.	2023-03-05T22:51:49+0000	CODE_SMELL	false	"regex / "	String-em-Python:-extraindo-informacoes-de-uma-URL:manipulacao-strings-alura-aula-5/extrator_cep.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=21.0, endOffset=26.0}	5min	AYaz-YTy1m6JgciZ2APO	bab48b139ab2b025d5f7419da82e5ee8	OPEN
MINOR	2023-03-05T22:51:49+0000		8.0		python:S6353	String-em-Python:-extraindo-informacoes-de-uma-URL	5min		Use concise quantifier syntax '?' instead of '{0,1}'.	2023-03-05T22:51:49+0000	CODE_SMELL	false	"regex / "	String-em-Python:-extraindo-informacoes-de-uma-URL:manipulacao-strings-alura-aula-5/extrator_cep.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=32.0, endOffset=37.0}	5min	AYaz-YTy1m6JgciZ2APP	bab48b139ab2b025d5f7419da82e5ee8	OPEN
MINOR	2023-03-05T22:51:49+0000		8.0		python:S6353	String-em-Python:-extraindo-informacoes-de-uma-URL	5min		Use concise character class syntax '\d' instead of '[0-9]'.	2023-03-05T22:51:49+0000	CODE_SMELL	false	"regex / "	String-em-Python:-extraindo-informacoes-de-uma-URL:manipulacao-strings-alura-aula-5/extrator_cep.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=37.0, endOffset=42.0}	5min	AYaz-YTy1m6JgciZ2APQ	bab48b139ab2b025d5f7419da82e5ee8	OPEN
